time,lift,roll,pitch
2.548000,28.508646,-2.243735,-0.619319
2.558000,28.531107,-2.151988,-0.708323
2.568000,28.551132,-2.076791,-0.988205
2.578000,28.599251,-2.087007,-1.245194
2.588000,28.577599,-2.181985,-1.345644
2.598000,28.499466,-2.310862,-1.315676
2.608000,27.821087,-2.206972,-1.106195
2.619000,28.095230,-1.958417,-0.757130
2.628000,28.205723,-1.977358,-0.547219
2.638000,28.246218,-2.124146,-0.445477
2.649000,28.357712,-2.280629,-0.465808
2.659000,28.425524,-2.384695,-0.657540
2.669000,28.449419,-2.390035,-0.865188
2.679000,28.458632,-2.207712,-0.987071
2.689000,28.552845,-2.009676,-0.970621
2.699000,28.645617,-1.918320,-0.835539
2.709000,28.673584,-1.884872,-0.718026
2.719000,28.741249,-1.881106,-0.638040
2.729000,28.812012,-1.959083,-0.579905
2.739000,28.895048,-2.027370,-0.606630
2.750000,28.977213,-2.082191,-0.753286
2.760000,28.997019,-2.134352,-1.048274
2.770000,29.048956,-1.981808,-1.378053
2.780000,29.044264,-1.695175,-1.607940
2.790000,28.993940,-1.424240,-1.768320
2.800000,28.953445,-1.256329,-1.777511
2.810000,28.387373,-1.352409,-1.567631
2.820000,28.714773,-1.485622,-1.302900
2.830000,28.770033,-1.565064,-1.156579
2.840000,28.815662,-1.537693,-1.108452
2.850000,28.900040,-1.459133,-1.181446
2.861000,28.932688,-1.382815,-1.383302
2.871000,28.905674,-1.391893,-1.558373
2.881000,28.929398,-1.503340,-1.584043
2.891000,29.003679,-1.594020,-1.448057
2.901000,29.009771,-1.609135,-1.217222
2.911000,29.018541,-1.617776,-1.019748
2.921000,29.026100,-1.573700,-0.859041
2.931000,29.040274,-1.510447,-0.679862
2.941000,29.081921,-1.426444,-0.549632
2.951000,29.090702,-1.331174,-0.543911
2.962000,29.081799,-1.220029,-0.704044
2.971000,29.050108,-1.100397,-0.961211
2.981000,29.012894,-1.053929,-1.200281
2.992000,28.962648,-1.121873,-1.298195
3.002000,28.328636,-1.080143,-1.250879
3.012000,28.509748,-0.843319,-0.966956
3.022000,28.617664,-0.654516,-0.752657
3.032000,28.654585,-0.577136,-0.670529
3.042000,28.801146,-0.526256,-0.824219
3.052000,28.791216,-0.498543,-1.104707
3.062000,28.742594,-0.345274,-1.323192
3.072000,28.816515,-0.088108,-1.379662
3.082000,28.917185,0.104448,-1.276573
3.092000,28.976122,0.187928,-1.152044
3.103000,29.010248,0.144205,-1.119825
3.113000,29.073870,0.139374,-1.088943
3.123000,29.118105,0.172295,-1.138737
3.133000,29.182735,0.257643,-1.310176
3.143000,29.230551,0.291134,-1.577155
3.153000,29.253408,0.390669,-1.878989
3.163000,29.264816,0.653078,-2.097553
3.173000,29.241571,0.905665,-2.298286
3.183000,29.213175,1.010041,-2.360118
3.193000,29.206234,0.914925,-2.168770
3.204000,28.877831,0.782509,-1.797022
3.214000,29.163816,0.967159,-1.590376
3.224000,29.168734,1.281573,-1.453723
3.234000,29.273314,1.396544,-1.438585
3.244000,29.320549,1.442897,-1.524467
3.254000,29.324314,1.445485,-1.697289
3.264000,29.308969,1.363931,-1.820880
3.275000,29.318029,1.309898,-1.804284
3.284000,29.320999,1.278382,-1.604879
3.295000,29.325081,1.139351,-1.357870
3.305000,29.297676,1.008127,-1.132842
3.314000,29.250864,0.963608,-0.879994
3.325000,29.185680,0.912460,-0.572247
3.335000,29.189318,0.555659,-0.335050
3.345000,29.198820,-0.101736,-0.224928
3.355000,29.152250,-0.783832,-0.285999
3.365000,29.077610,-1.434989,-0.481506
3.375000,29.007935,-2.109954,-0.778212
3.385000,28.500107,-2.677794,-1.114414
3.395000,28.400267,-2.987496,-1.232636
3.405000,28.649637,-2.523902,-1.019790
3.416000,28.747494,-1.966042,-0.864970
3.426000,28.791948,-1.682136,-0.798217
3.436000,28.879843,-1.466947,-0.914826
3.446000,28.873131,-1.149667,-1.166285
3.456000,28.830671,-0.607287,-1.363355
3.466000,28.902828,-0.028682,-1.411512
3.476000,28.991011,0.435997,-1.334898
3.486000,29.047155,0.714044,-1.280249
3.496000,29.086727,0.896674,-1.338945
3.506000,29.127840,1.092162,-1.453831
3.516000,29.180532,1.142098,-1.650085
3.529000,29.251484,0.962657,-1.903983
3.537000,29.284582,0.750935,-2.156432
3.547000,29.291109,0.519235,-2.370023
3.557000,29.287889,0.165822,-2.509458
3.567000,29.263220,-0.486471,-2.283606
3.577000,29.271339,-1.009053,-1.812993
3.587000,28.778494,-1.220254,-1.428881
3.597000,29.000347,-0.737709,-1.289302
3.607000,29.116434,-0.033942,-1.191949
